"","soc","certificate","confidence_entry","confidence_cert","confidence","SOC","Raw"
"203","esco group","carbon monoxide safety certification",0.307293665888702,0.338535657644059,0.149667581595138,"47-2181","occupational safety and health administration certification"
"205","aerospace medical association","certification in aerospace physiology",0.0736639656441036,0.11026206681008,0.0116855978783391,"13-2081","taxation certification"
"208","national institute for automotive service excellence","national institute for automotive service excellence",0.53723827255904,0.462593080651707,0.357549182901249,"49-9041","automotive service excellence certification"
"209","national institute for automotive service excellence","automobile technician: brakes",0.245786340014161,0.2,0.0707224751474277,"49-3031","air brake certified"
"212","air conditioning contractors of america","air conditioning contractors of america",0.374101672186461,0.359762140757808,0.19363097030153,"49-3031","air conditioning certification"
"219","eta international","photovoltaic installer/designer",0.5093748467081,0.323481763644505,0.237059307342553,"47-2231","residential and commercial photovoltaic systems certificate"
"220","north american board of certified energy practitioners","north american board of certified energy practitioners",0.760679343424761,0.650630784593406,0.712042546191671,"47-2231","north american board of energy practitioners"
"221","esco group","carbon monoxide safety certification",0.307293665888702,0.338535657644059,0.149667581595138,"47-2231","occupational safety and health administration certification"
"222","dental assisting national board","certified preventative functions dental assistant",0.165394023814041,0.198052730333629,0.0471270614304047,"47-2152","certified occupational therapy assistant"
"223","national board for respiratory care","certified respiratory therapist",0.486545575706531,0.666666666666667,0.466661510209959,"29-1126","registered respiratory therapist"
"234","international association of plumbing and mechanical officials","medical gas certification",0.273473675442291,0.451380876858745,0.177594044077284,"49-9071","department of transportation medical certification"
"235","the national board of boiler and pressure vessel inspectors","the national board of boiler and pressure vessel inspectors",0.167020190567863,0.111111111111111,0.0266990727616735,"49-9071","boiler operator license"
"237","national board for respiratory care","neonatal/pediatric respiratory care specialist",0.334040381135725,0.4,0.192233323884049,"29-1126","respiratory care practitioner"
"239","national board for respiratory care","certified respiratory therapist",0.344570924080853,0.687683173531943,0.340907643825805,"29-1126","certified respiratory therapist"
"240","international association of plumbing and mechanical officials","backflow prevention program specialist/administrator certification",0.164539733517618,0.164191459884968,0.0388678991703471,"29-1126","neonatal resuscitation program"
"242","professional lighting and sound association","certified entertainment electrician",0.164539733517618,0.328382919769937,0.0777357983406942,"47-2111","electrician certification"
"243","american society of plumbing engineers","certified in plumbing design",0.159652738892411,0.238972214002387,0.0548900332767021,"47-2061","plumbing license"
"245","international association of plumbing and mechanical officials","service plumbing certification",0.233316704536515,0.465645707749956,0.156304381106405,"47-2061","plumbing certification"
"252","north american technician excellence, inc.","north american technician excellence, inc.",0.239597112122002,0.127520536965183,0.0439573421708971,"29-2055","american heart association certification"
"258","american petroleum institute","piping inspector certification",0.154788471317896,0.147016089080106,0.0327395865121298,"49-9071","airframe and powerplant certification"
"262","certified internet web professionals","site development associate",0.17755073351299,0.333333333333333,0.0851473094989504,"27-4011","certified career development facilitator"
"264","esco group","basic refrigeration and charging procedures certification",0.339959389537021,0.24017471120672,0.117469205480981,"49-1011","training for intervention procedures certification"
"268","international association of plumbing and mechanical officials","backflow prevention assembly repairer certification",0.140472041871249,0.168209653448064,0.0339946461390147,"49-3023","back-flow certification"
"269","international association of plumbing and mechanical officials","backflow prevention assembly tester certification",0.407704346779829,0.488209653448064,0.286365976591627,"49-3023","backflow tester certification"
"270","international association of plumbing and mechanical officials","backflow prevention assembly tester certification",0.233828266795008,0.28,0.0941943287031841,"49-3023","certified back-flow tester"
"273","national institute for automotive service excellence","national institute for automotive service excellence",0.53723827255904,0.462593080651707,0.357549182901249,"49-3031","automotive service excellence certification"
"279","association of energy engineers","certified energy auditor",0.158391233322998,0.316111947871838,0.0720347021601286,"49-9012","certified energy manager"
"280","esco group","certified in hydrocarbon refrigerants",0.376179809020788,0.220324579424602,0.11924169611367,"49-9012","leadership in energy and environmental design certified"
"281","esco group","electrical certification",0.235747923071504,0.220524133620159,0.0747951975047581,"49-9012","automation certification"
"283","association of energy engineers","certified energy auditor",0.23798512869321,0.316111947871838,0.108233186296341,"49-9012","certified energy professional"
"287","international code council","residential building inspector",0.291172145068513,0.286016227945033,0.119814730206327,"49-9071","building maintenance"
"293","international food service executives association","master certified food executive",0.167020190567863,0.25,0.0600729137137654,"49-1011","global food safety initiative"
"294","community transportation association of america","community transportation association of america",0.215081012680357,0.244941008676575,0.0757937313512841,"49-3023","department of transportation certified"
"295","american petroleum institute","piping inspector certification",0.154788471317896,0.147016089080106,0.0327395865121298,"17-3023","airframe and powerplant certification"
"299","international association of plumbing and mechanical officials","backflow prevention assembly repairer certification",0.140472041871249,0.168209653448064,0.0339946461390147,"47-2152","back-flow certification"
"300","international association of plumbing and mechanical officials","backflow prevention assembly repairer certification",0.233828266795008,0.28,0.0941943287031841,"47-2152","back-flow prevention certificate"
"306","professional lighting and sound association","certified entertainment electrician",0.164539733517618,0.328382919769937,0.0777357983406942,"49-9021","electrician certification"
"310","asis","physical security professional",0.154863480868914,0.309071377024106,0.0688616646804844,"43-6014","security clearance"
"313","asis","physical security professional",0.154863480868914,0.309071377024106,0.0688616646804844,"49-3011","security clearance"
"319","american association of airport executives","airport master firefighter",0.33155992408548,0.66171625310327,0.315648367061025,"33-2011","airport firefighter"
"320","american association of airport executives","airport master firefighter",0.167020190567863,0.333333333333333,0.0800972182850205,"33-2011","firefighter"
"321","aircraft rescue and fire fighting training alliance","airport fire officer",0.312400423895488,0.623478360776499,0.28022231261037,"33-2011","fire officer"
"322","international municipal signal association","interior fire alarm technician level ii",0.402033258622011,0.275401640018187,0.159293559775544,"33-2011","fire inspector ii"
"323","","",0,0,0,"33-2011","hazmat incident commander"
"324","asis","physical security professional",0.154863480868914,0.309071377024106,0.0688616646804844,"33-2011","security clearance"
"328","asis","physical security professional",0.154863480868914,0.309071377024106,0.0688616646804844,"47-2152","security clearance"
"330","asis","physical security professional",0.154863480868914,0.309071377024106,0.0688616646804844,"49-1011","security clearance"
"331","asis","physical security professional",0.154863480868914,0.309071377024106,0.0688616646804844,"47-3013","security clearance"
"332","electronic security association","certified fire alarmtechnician - level ii",0.271853061904475,0.177057264603938,0.0692496675438004,"33-2011","fire instructor i"
"335","association for the advancement of medical instrumentation","association for the advancement of medical instrumentation",0.216513948084629,0.130442051905131,0.0406324691828388,"33-2011","emergency medical technician"
"337","aircraft rescue and fire fighting training alliance","airport fire officer",0.312400423895488,0.623478360776499,0.28022231261037,"33-2011","fire officer i"
"338","international municipal signal association","traffic signal inspector level i",0.397900514135249,0.299412691252778,0.171401421228714,"33-2011","fire inspector i"
"343","asis","physical security professional",0.154863480868914,0.309071377024106,0.0688616646804844,"47-2061","security clearance"
"352","asis","physical security professional",0.154863480868914,0.309071377024106,0.0688616646804844,"49-3042","security clearance"
"358","air conditioning contractors of america","instructor certification",0.173876079984821,0.220524133620159,0.0551652611585183,"35-1011","food handler certification"
"366","academy of internal medicine for veterinary technicians","veterinary internal medicine technician - neurology",0.226092710941224,0.270736981166788,0.0880651049014513,"29-2056","certified veterinary technician"
"369","association of boards of certification","certified operator class i",0.160701515153852,0.240542048550347,0.0556135591922397,"49-1011","certified pool/spa operator"
"381","american petroleum institute","welding inspection and metallurgy professional",0.154863480868914,0.185442826214464,0.0413169988082906,"47-4011","home inspection"
"384","professional lighting and sound association","certified entertainment electrician",0.164539733517618,0.328382919769937,0.0777357983406942,"49-9071","electrician certification"
"385","electrical generating systems association","electrical generator systems technician certification",0.208158805523805,0.249261846506188,0.0746483664700614,"49-9071","electrical certification"
"389","esco group","carbon monoxide safety certification",0.307293665888702,0.338535657644059,0.149667581595138,"47-2111","occupational safety and health administration certification"
"393","building industry consulting service international","bicsi technician",0.231028944081686,0.691619807450212,0.22988123904324,"49-9052","bicsi technician"
"398","national institute for automotive service excellence","medium/heavy truck technician: heating, ventilation, & a/c",0.226092710941224,0.169210613229243,0.0550406905634071,"49-2022","certified a+ technician"
"400","computing technology industry association (comptia)","comptia ctt+",0.167020190567863,0.5,0.120145827427531,"49-2022","comptia network+"
"401","air conditioning contractors of america","epa section 608 certification - refrigerant handling",0.33155992408548,0.330858126551635,0.157824183530512,"49-9071","epa 608"
"411","","",0,0,0,"43-6014","conflict resolution"
"415","project management institute","project management institute",0.312594416241306,0.623865524238908,0.280570441857171,"49-2022","project management certification"
"417","","",0,0,0,"51-8021","blue seal license"
"419","american welding society","certified welding engineer",0.157245954507849,0.31382623855878,0.0709967463203672,"51-8021","stationary engineer license"
"424","national institute for automotive service excellence","medium/heavy truck technician: heating, ventilation, & a/c",0.226092710941224,0.169210613229243,0.0550406905634071,"49-9071","certified a+ technician"
"425","asis","physical security professional",0.154863480868914,0.309071377024106,0.0688616646804844,"27-3042","security clearance"
"442","esco group","carbon monoxide safety certification",0.307293665888702,0.338535657644059,0.149667581595138,"49-9052","occupational safety and health administration certification"
"459","american society of plumbing engineers","certified in plumbing design",0.159652738892411,0.238972214002387,0.0548900332767021,"53-7072","plumbing license"
"460","international association of plumbing and mechanical officials","backflow prevention assembly repairer certification",0.140472041871249,0.168209653448064,0.0339946461390147,"53-7072","back-flow certification"
"461","international association of plumbing and mechanical officials","service plumbing certification",0.233316704536515,0.465645707749956,0.156304381106405,"53-7072","plumbing certification"
"462","professional lighting and sound association","certified entertainment electrician",0.164539733517618,0.328382919769937,0.0777357983406942,"53-7072","electrician certification"
"467","national board for certification in dental laboratory technology","national board for certification in dental laboratory technology",0.372696173782753,0.278930478790917,0.149561778180089,"17-3023","american board for engineering and technology accredited"
"479","aerospace medical association","certification in aerospace physiology",0.0736639656441036,0.11026206681008,0.0116855978783391,"33-2011","paramedic certification"
"481","american association of airport executives","airport master firefighter",0.167020190567863,0.333333333333333,0.0800972182850205,"33-2011","firefighter i"
"482","american society of plumbing engineers","certified plumbing design technician",0.0745392964589507,0.111572283874063,0.0119649620631954,"33-2011","certified patient account technician"
"486","","",0,0,0,"29-2055","licensed practical nurse"
"490","american society of plumbing engineers","certified plumbing design technician",0.0745392964589507,0.111572283874063,0.0119649620631954,"29-2055","certified scrub technician"
"498","computing technology industry association (comptia)","comptia ctt+",0.167020190567863,0.5,0.120145827427531,"49-9071","comptia network+"
"502","autodesk, inc.","autodesk certified professional in autocad for design and drafting",0.167020190567863,0.111111111111111,0.0266990727616735,"17-3011","autocad certification"
"503","autodesk, inc.","autodesk certified professional in autocad for design and drafting",0.382328309215408,0.254346035061526,0.139904325366317,"17-3011","drafting and design"
"505","association of boards of certification","certified operator class i",0.238203699161721,0.246287189827452,0.0844034188255521,"49-9071","class 2 certification"
"508","american association of airport executives","airport master firefighter",0.167020190567863,0.333333333333333,0.0800972182850205,"33-2011","wildland firefighter"
"520","electrical generating systems association","electrical generator systems technician certification",0.208158805523805,0.249261846506188,0.0746483664700614,"49-3031","electrical certification"
"521","project management institute","project management institute",0.312594416241306,0.623865524238908,0.280570441857171,"49-3031","project management certification"
"524","electrical generating systems association","electrical generator systems technician certification",0.208158805523805,0.249261846506188,0.0746483664700614,"47-1011","electrical certification"
"528","national board of surgical technology and surgical assisting","certified surgical first assistant",0.167020190567863,0.25,0.0600729137137654,"49-9021","first aid cpr aed"
"529","national board of surgical technology and surgical assisting","certified surgical first assistant",0.167020190567863,0.25,0.0600729137137654,"43-6014","first aid cpr aed"
"537","american petroleum institute","piping inspector certification",0.290587185748391,0.251561306854012,0.10516954975438,"49-9098","certified welding inspector"
"550","international food service executives association","international food service executives association",0.347752567205483,0.416419794544763,0.208339407046506,"49-9071","commercial food equipment service association"
"555","association of diving contractors international","life support technician",0.324266145075711,0.647159571892113,0.301913617005845,"29-1126","advanced cardiac life support certification"
"571","international association of plumbing and mechanical officials","medical gas certification",0.273473675442291,0.451380876858745,0.177594044077284,"49-9021","department of transportation medical certification"
"589","national institute for metalworking skills","machining level i - cnc milling: programming setup & operations",0.167020190567863,0.125,0.0300364568568827,"49-9071","programming certification"
"590","american society for nondestructive testing","industry radiography radiation safety personnel",0.152505194570806,0.182618872667183,0.0400682161256355,"49-9071","osha safety 10 hour"
"609","","",0,0,0,"43-6014","insurance license"
"610","aerospace medical association","certification in aerospace physiology",0.0736639656441036,0.11026206681008,0.0116855978783391,"43-6014","insurance agent certification"
"612","association of boards of certification","certified operator class i",0.223834937852828,0.224779668401391,0.0723860061094792,"49-1011","forklift operator certification"
"613","aerospace medical association","certification in aerospace physiology",0.0736639656441036,0.11026206681008,0.0116855978783391,"49-1011","aerial lift certification"
"616","national board of surgical technology and surgical assisting","certified surgical first assistant",0.167020190567863,0.25,0.0600729137137654,"49-2021","first aid cpr aed"
"617","avid technology, inc.","avid certified user: pro tools for game audio",0.172614500372528,0.129186851441168,0.0320822857527606,"27-4012","certified audio engineering"
"618","aabc commissioning group","certified commissioning authority",0.0105305429451275,0.0210165068652759,0.000318405830003483,"49-3023","chrysler certified"
"635","association of boards of certification","plant maintenance technologist certification class i",0.221524656021974,0.221055765043334,0.0704520492394196,"49-9071","maintenance certification"
"638","national board of surgical technology and surgical assisting","certified surgical first assistant",0.167020190567863,0.25,0.0600729137137654,"49-9071","first aid cpr aed"
"647","national board of surgical technology and surgical assisting","certified surgical first assistant",0.167020190567863,0.25,0.0600729137137654,"47-2111","first aid cpr aed"
"648","association of boards of certification","certified operator class i",0.223834937852828,0.224779668401391,0.0723860061094792,"47-2111","forklift operator certification"
"652","aerospace medical association","certification in aerospace physiology",0.0736639656441036,0.11026206681008,0.0116855978783391,"49-1011","epic certification"
"662","national institute for certification in engineering technologies","certification in electrical power testing",0.233316704536515,0.279387424649974,0.0937826286638432,"49-9071","power generation equipment certification"
"668","aerospace medical association","certification in aerospace physiology",0.0736639656441036,0.11026206681008,0.0116855978783391,"49-9062","aerial lift certification"
"673","american welding society","certified welding engineer",0.157245954507849,0.31382623855878,0.0709967463203672,"49-9021","stationary engineer license"
"674","air conditioning contractors of america","epa section 608 certification - refrigerant handling",0.240684156211966,0.24017471120672,0.0831657470634476,"47-2031","epa lead certification"
"686","american bankers association","certified ira services professional",0.0901244383153394,0.134900514136823,0.0174914530795068,"43-6014","certified professional secretary"
"694","air conditioning contractors of america","air conditioning contractors of america",0.162083957427401,0.194089058186703,0.0452596090216033,"49-9071","contractors license"
"696","national registry of radiation protection technologists","registered radiation protection technologist",0.300365884948676,0.449595171588901,0.194286201154586,"29-1126","registered pulmonary function technologist"
"700","air conditioning contractors of america","epa section 608 certification - refrigerant handling",0.240684156211966,0.24017471120672,0.0831657470634476,"49-1011","epa cfc/hcfc certification"
"701","green business certification inc.","leed ap building design + construction",0.334040381135725,0.4,0.192233323884049,"17-3011","leed ap"
"702","autodesk, inc.","autodesk certified professional in civil 3d for infrastructure design",0.167020190567863,0.111111111111111,0.0266990727616735,"17-3011","civil engineering certificate"
"703","society of broadcast engineers, inc.","professional broadcast engineer",0.236839849878061,0.472677083875935,0.161060498202893,"17-3011","licensed professional engineer"
"704","american health information management association","american health information management association",0.164539733517618,0.197029751861962,0.0466414790044165,"49-9095","home health aide"
"707","","",0,0,0,"51-8011","investment advisor"
"712","national institute for automotive service excellence","automobile technician: brakes",0.245786340014161,0.2,0.0707224751474277,"49-3023","air brake certified"
"719","association of boards of certification","certified operator class i",0.223834937852828,0.224779668401391,0.0723860061094792,"17-3023","forklift operator certification"
"724","american petroleum institute","piping inspector certification",0.154788471317896,0.147016089080106,0.0327395865121298,"49-3023","airframe and powerplant certification"
"725","environmental protection agency","environmental protection agency",0.555151137458036,0.960936060438548,0.767494794623844,"49-2022","environmental protection agency certification"
"733","computing technology industry association (comptia)","comptia ctt+",0.167020190567863,0.5,0.120145827427531,"17-3023","comptia security+"
"734","association of energy engineers","certified energy auditor",0.320475190750399,0.639593711516344,0.294895613989758,"17-3023","certified energy auditor"
"735","computing technology industry association (comptia)","comptia ctt+",0.167020190567863,0.5,0.120145827427531,"17-3023","comptia comptia comptia security+"
"738","esco group","combustion appliance zone certification",0.164539733517618,0.246287189827452,0.0583018487555207,"49-9071","appliance repair certificate"
"749","international concrete repair institute","certified concrete surface repair technician",0.234192035351362,0.28043559830116,0.0944876344575276,"49-9071","certified repair technician"
"752","cisco systems, inc.","cisco certified devnet associate",0.293546144911172,0.439387214074426,0.185563907792829,"17-3023","cisco certified network associate"
"756","association of boards of certification","certified operator class i",0.223834937852828,0.224779668401391,0.0723860061094792,"49-9071","forklift operator certification"
"760","national institute for automotive service excellence","national institute for automotive service excellence",0.53723827255904,0.462593080651707,0.357549182901249,"49-3092","automotive service excellence certification"
"762","international fluid power society","fluid power pneumatic mechanic",0.167020190567863,0.25,0.0600729137137654,"49-3023","master mechanic"
"769","american concrete institute international","american concrete institute international",0.377789871448191,0.56548533168912,0.307355768103586,"47-4011","american concrete institute"
"775","electrical generating systems association","electrical generator systems technician certification",0.208158805523805,0.249261846506188,0.0746483664700614,"49-9098","electrical certification"
"776","asis","physical security professional",0.154863480868914,0.309071377024106,0.0688616646804844,"51-8011","security clearance"
"781","esco group","carbon monoxide safety certification",0.307293665888702,0.338535657644059,0.149667581595138,"47-2061","occupational safety and health administration certification"
"796","national institute for automotive service excellence","national institute for automotive service excellence",0.53723827255904,0.462593080651707,0.357549182901249,"49-9021","automotive service excellence certification"
"797","association of diving contractors international","life support technician",0.167020190567863,0.333333333333333,0.0800972182850205,"29-1126","basic life saving"
"819","air conditioning contractors of america","air conditioning contractors of america",0.162083957427401,0.194089058186703,0.0452596090216033,"47-2061","contractors license"
"824","asis","physical security professional",0.154863480868914,0.309071377024106,0.0688616646804844,"49-3023","security clearance"
"830","professional lighting and sound association","certified entertainment electrician",0.164539733517618,0.328382919769937,0.0777357983406942,"47-2111","master electrician license"
"837","american society for nondestructive testing","industry radiography radiation safety personnel",0.152505194570806,0.182618872667183,0.0400682161256355,"47-2181","osha safety 30 hour"
"838","american society for nondestructive testing","industry radiography radiation safety personnel",0.152505194570806,0.182618872667183,0.0400682161256355,"47-2181","osha safety 10 hour"
"843","national ground water association","master ground water contractor",0.167020190567863,0.25,0.0600729137137654,"47-2111","electrical contractor"
"853","esco group","carbon monoxide safety certification",0.307293665888702,0.338535657644059,0.149667581595138,"49-9021","occupational safety and health administration certification"
"871","professional lighting and sound association","certified entertainment electrician",0.164539733517618,0.328382919769937,0.0777357983406942,"49-9043","electrician certification"
"872","cisco systems, inc.","cisco certified devnet associate",0.293546144911172,0.439387214074426,0.185563907792829,"49-2098","cisco certified network associate"
"877","american society for nondestructive testing","industry radiography radiation safety personnel",0.152505194570806,0.182618872667183,0.0400682161256355,"49-9071","osha safety 30 hour"
"943","aerospace medical association","aerospace medical association",0.152505194570806,0.304364787778639,0.0667803602093926,"43-6014","medical secretary"
"946","asis","physical security professional",0.154863480868914,0.309071377024106,0.0688616646804844,"49-2011","security clearance"
"952","national board of surgical technology and surgical assisting","certified surgical first assistant",0.167020190567863,0.25,0.0600729137137654,"49-1011","first aid cpr aed"
"956","american society of home inspectors","ashi certified inspector",0.291441476044814,0.272577813719288,0.114290879594056,"47-4011","certified home inspector"
"962","north american technician excellence, inc.","north american technician excellence, inc.",0.239597112122002,0.127520536965183,0.0439573421708971,"29-1126","american heart association certification"
"970","american welding society","certified welding engineer",0.157245954507849,0.31382623855878,0.0709967463203672,"51-9011","stationary engineer license"
"977","building performance institute","manufactured housing professional",0.162083957427401,0.323481763644505,0.0754326817026721,"49-9071","fair housing"
"981","green business certification inc.","leed ap building design + construction",0.334040381135725,0.4,0.192233323884049,"47-2061","leed ap"
"986","equipment & engine training council","compact diesel technician certification",0.238203699161721,0.356549256637532,0.122190586773923,"49-3031","diesel mechanic certification"
"991","association of diving contractors international","life support technician",0.324266145075711,0.647159571892113,0.301913617005845,"29-1126","basic cardiac life support certification"
"1000","american society for nondestructive testing","american society for nondestructive testing",0.331815207482033,0.397335443521976,0.189680771328827,"29-2055","american society for clinical pathology certification"
"1010","microsoft corporation","microsoft corporation",0.329933757331659,0.492574379654905,0.23381280141956,"49-9071","microsoft certified solutions expert"
"1022","","",0,0,0,"49-1011","servsafe"
"1029","esco group","carbon monoxide safety certification",0.307293665888702,0.338535657644059,0.149667581595138,"47-2152","occupational safety and health administration certification"
"1030","american society for nondestructive testing","industry radiography radiation safety personnel",0.152505194570806,0.182618872667183,0.0400682161256355,"47-2152","osha safety 10 hour"
"1038","national air filtration association","nafa certified air filter specialist",0.0773386191722726,0.0926099041191656,0.0103044202360504,"47-2152","certified fitter"
"1039","","",0,0,0,"47-2152","pipefitter"
"1040","american petroleum institute","welding inspection and metallurgy professional",0.238203699161721,0.197029751861962,0.0675227350604417,"47-2152","welding certification"
"1047","eta international","passive intermodulation testing",0.479614606809168,0.957198857572241,0.660487018594967,"47-1011","passive intermodulation testing"
"1052","american health information management association","american health information management association",0.300724992917079,0.19117777120191,0.0827135443231113,"49-9071","information technology certification"
"1068","association of boards of certification","certified operator class i",0.223834937852828,0.224779668401391,0.0723860061094792,"47-2061","forklift operator certification"
"1073","adobe systems incorporated","aem 6 lead developer",0.167020190567863,0.25,0.0600729137137654,"43-6014","series 6"
"1083","","",0,0,0,"49-3023","i-car"
"1086","","",0,0,0,"49-9071","servsafe"
"1087","national fire protection association","certified electrical safety technician",0.242629632886145,0.244035970982936,0.0851858381442772,"49-9071","certified professional - food safety"
"1089","national institute for automotive service excellence","master medium/heavy truck specialist",0.334040381135725,0.4,0.192233323884049,"49-3042","heavy truck"
"1090","equipment & engine training council","compact diesel technician certification",0.238203699161721,0.356549256637532,0.122190586773923,"49-3042","diesel mechanic certification"
"1091","association of boards of certification","certified operator class i",0.223834937852828,0.224779668401391,0.0723860061094792,"49-3042","forklift operator certification"
"1092","national institute for automotive service excellence","national institute for automotive service excellence",0.53723827255904,0.462593080651707,0.357549182901249,"49-3042","automotive service excellence certification"
"1098","cisco systems, inc.","cisco certified devnet associate",0.293546144911172,0.439387214074426,0.185563907792829,"49-9071","cisco certified network associate"
